cluster_id,character,malePercent,femalePercent,nonbinaryPercent,significant,pValue,size,x_nose,y_nose,x_neck,y_neck,x_lshoulder,y_lshoulder,x_rshoulder,y_rshoulder,x_lelbow,y_lelbow,x_relbow,y_relbow,x_lwrist,y_lwrist,x_rwrist,y_rwrist,x_midhip,y_midhip,x_lhip,y_lhip,x_rhip,y_rhip,x_lknee,y_lknee,x_rknee,y_rknee,x_lankle,y_lankle,x_rankle,y_rankle,x_bigtoe,y_bigtoe,x_rbigtoe,y_rbigtoe
98,neutral,30.6,61.1,8.3,0,0.17009445827060882,36,0.098026,-0.310511,0.105312,-0.275153,0.140781,-0.285694,0.069467,-0.265638,0.186903,-0.296162,0.035891,-0.221300,0.203681,-0.324917,0.007850,-0.196468,0.117785,-0.167352,0.140024,-0.170441,0.094664,-0.164431,0.158530,-0.109447,0.087754,-0.098941,0.151000,-0.036965,0.101026,-0.032324,0.159168,-0.010468,0.102947,-0.007274
99,neutral,35.0,61.3,3.7,0,0.07300923355113591,163,0.105616,-0.362565,0.111399,-0.318438,0.147011,-0.316066,0.075691,-0.321052,0.159854,-0.253680,0.058397,-0.262340,0.141143,-0.210394,0.058619,-0.220305,0.102313,-0.203423,0.125981,-0.201460,0.078520,-0.205366,0.119631,-0.119719,0.050382,-0.123422,0.110939,-0.034980,0.028214,-0.032729,0.101071,-0.008081,0.001762,-0.007765
100,neutral,35.0,62.0,2.9,0,0.0788579535837791,137,0.056307,-0.371005,0.051717,-0.326865,0.088342,-0.330790,0.014543,-0.323000,0.114220,-0.277744,0.002895,-0.256309,0.097916,-0.312193,0.010502,-0.202462,0.062355,-0.206823,0.086284,-0.209200,0.038584,-0.204453,0.102959,-0.120379,0.046303,-0.113434,0.108441,-0.038785,0.056217,-0.030072,0.124708,-0.012954,0.064382,-0.003914
101,neutral,35.9,62.1,2.0,0,0.04181747317321925,153,0.082138,-0.365315,0.080577,-0.323589,0.119651,-0.324235,0.041269,-0.323486,0.143128,-0.270261,0.012385,-0.269978,0.145244,-0.226934,0.012032,-0.227730,0.081650,-0.206762,0.106319,-0.206970,0.057404,-0.206553,0.106296,-0.118333,0.063924,-0.118675,0.100488,-0.032737,0.070269,-0.035198,0.103747,-0.004866,0.072594,-0.007580
102,neutral,37.8,62.2,0.0,0,0.22602518893168752,45,0.067186,-0.367901,0.060985,-0.319523,0.106866,-0.318305,0.015989,-0.320762,0.117548,-0.245584,0.007956,-0.244239,0.103945,-0.220104,0.054050,-0.217485,0.058091,-0.200139,0.087675,-0.200875,0.027504,-0.199834,0.141534,-0.175328,0.048442,-0.182033,0.136606,-0.044700,0.066598,-0.066366,0.152373,-0.006129,0.087782,-0.029189
103,neutral,34.1,62.4,3.5,0,0.1863066056519338,85,0.095361,-0.353323,0.096401,-0.313170,0.129567,-0.311051,0.063947,-0.315139,0.142364,-0.259511,0.050115,-0.264980,0.120011,-0.265248,0.071195,-0.272504,0.086966,-0.201797,0.109464,-0.199911,0.064157,-0.203416,0.106505,-0.113283,0.040058,-0.118961,0.102601,-0.029206,0.021993,-0.034036,0.100282,-0.004204,0.002172,-0.009717
104,neutral,37.0,63.0,0.0,0,0.3833116154678835,27,0.092018,-0.360262,0.091016,-0.308066,0.140888,-0.305290,0.040665,-0.310419,0.165363,-0.238971,0.016082,-0.235966,0.147355,-0.225588,0.034512,-0.211575,0.084855,-0.182693,0.119094,-0.181467,0.050975,-0.182668,0.122763,-0.174175,0.073326,-0.184953,0.067916,-0.054446,0.124274,-0.051573,0.052043,-0.022672,0.158569,-0.020149
105,neutral,33.0,63.0,4.0,0,0.09766018180871672,100,0.064301,-0.366136,0.058785,-0.322511,0.093670,-0.324829,0.022840,-0.321273,0.133801,-0.297430,0.004907,-0.260896,0.167752,-0.308897,0.009837,-0.212534,0.057473,-0.205109,0.080192,-0.205080,0.033593,-0.204666,0.075132,-0.116021,0.035411,-0.115352,0.062490,-0.036531,0.041867,-0.031939,0.066505,-0.009087,0.045944,-0.005412
106,neutral,31.8,63.6,4.5,0,,22,0.163920,-0.287317,0.171120,-0.254145,0.200137,-0.247822,0.141005,-0.261416,0.215108,-0.201848,0.101901,-0.246383,0.216894,-0.172523,0.090321,-0.251416,0.145091,-0.165341,0.162923,-0.155632,0.125611,-0.175721,0.121655,-0.108168,0.076956,-0.193441,0.108202,-0.021264,0.037309,-0.137522,0.089675,-0.000328,0.011981,-0.127561
107,neutral,29.0,63.7,7.3,0,0.002315053017941463,124,0.042314,-0.365116,0.045674,-0.324785,0.078553,-0.327356,0.012754,-0.322727,0.094534,-0.274140,0.005007,-0.266877,0.069354,-0.293533,0.027486,-0.279045,0.053152,-0.208787,0.075523,-0.210260,0.031247,-0.207226,0.091073,-0.119958,0.037902,-0.116206,0.104842,-0.035506,0.046626,-0.031430,0.113236,-0.007059,0.049034,-0.005791
